fight_id,event_id,fighter_1_id,fighter_2_id,event_date,event_year
130,10,3278,3081,2025-09-13,2025
130,10,3081,3278,2025-09-13,2025
131,10,991,3634,2025-09-13,2025
131,10,3634,991,2025-09-13,2025
132,11,1778,416,2025-09-06,2025
132,11,416,1778,2025-09-06,2025
133,11,3463,3437,2025-09-06,2025
133,11,3437,3463,2025-09-06,2025
134,11,514,801,2025-09-06,2025
134,11,801,514,2025-09-06,2025
135,11,1908,2915,2025-09-06,2025
135,11,2915,1908,2025-09-06,2025
136,11,3774,2530,2025-09-06,2025
136,11,2530,3774,2025-09-06,2025
137,11,1419,3435,2025-09-06,2025
137,11,3435,1419,2025-09-06,2025
138,11,3916,3297,2025-09-06,2025
138,11,3297,3916,2025-09-06,2025
139,11,923,4084,2025-09-06,2025
139,11,4084,923,2025-09-06,2025
140,11,1186,1574,2025-09-06,2025
140,11,1574,1186,2025-09-06,2025
141,11,3038,4249,2025-09-06,2025
141,11,4249,3038,2025-09-06,2025
142,11,499,3966,2025-09-06,2025
142,11,3966,499,2025-09-06,2025
143,11,1163,1529,2025-09-06,2025
143,11,1529,1163,2025-09-06,2025
144,11,1751,255,2025-09-06,2025
144,11,255,1751,2025-09-06,2025
145,12,4215,4429,2025-08-23,2025
145,12,4429,4215,2025-08-23,2025
146,12,3853,2948,2025-08-23,2025
146,12,2948,3853,2025-08-23,2025
147,12,3042,772,2025-08-23,2025
147,12,772,3042,2025-08-23,2025
148,12,3902,414,2025-08-23,2025
148,12,414,3902,2025-08-23,2025
149,12,3936,811,2025-08-23,2025
149,12,811,3936,2025-08-23,2025
150,12,4402,2376,2025-08-23,2025
150,12,2376,4402,2025-08-23,2025
151,12,1886,1976,2025-08-23,2025
151,12,1976,1886,2025-08-23,2025
152,12,3401,1743,2025-08-23,2025
152,12,1743,3401,2025-08-23,2025
153,12,875,3077,2025-08-23,2025
153,12,3077,875,2025-08-23,2025
154,12,4383,4314,2025-08-23,2025
154,12,4314,4383,2025-08-23,2025
155,12,4395,4350,2025-08-23,2025
155,12,4350,4395,2025-08-23,2025
156,12,3561,2882,2025-08-23,2025
156,12,2882,3561,2025-08-23,2025
